Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_MYOUNG_BS-07-A1BJ001_CR2032,1,Battery_Cell,C2979167
"C100, C70",CP_EIA-3528-12_Kemet-T,2,Tant 47u 17V,C136751
"C11, C12, C13, C14, C16, C22, C23, C25, C32, C33, C38, C47, C48, C49, C50, C51, C54, C57, C58, C59, C61, C76, C77, C87, C88, C89, C98",0603,27,100nF 50V,C14663
"C17, C18, C20, C21, C30, C52, C53, C60, C71, C78, C8, C9, C90, C94, C97, C99",1206,16,10u 50V,C13585
C19,0603,1,1uF 50V,C6119852
C34,1206,1,1nF 2kV 1206,C9196
"C35, C36, C39, C40, C79, C80, C81",0603,7,33pF 0603,C107047
C37,CP_Elec_6.3x7.7,1,100uF 25V, C2918360
"C55, C56",0603,2,20pF 50V,C105621
C96,0402,1,33pF 0402,C1562
CN1,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,SHOU-HAN-TYPE-C16PIN_C393939,C2765186
D1,SOT-323_SC-70,1,TPESD1P0RFW,C521956
"D10, D6",D_SMA,2,SMAJ15CA,C2848698
"D11, D5",D_SMA,2,SMAJ6.0CA,C134999
"D12, D7",D_SOD-323,2,D_TVS,C41409313
"D16, D40",D_SOD-128,2,D_Schottky_5A_360mV@5A,C50603
"D17, D3",D_SMA,2,SMAJ18A,C148219
"D18, D25",0805,2,LED GREEN,C5875740
D19,0805,1,LED PINK,C965821
"D22, D28, D37, D38, D39",D_SOD-123,5,TPSMF12A,C42440530
"D23, D33, D34",D_SOD-123,3,1N4148W,C917030
D24,SOT-23,1,PSM712-ES,C5180294
"D26, D27, D42",SOT-353_SC-70-5,3,PESD5V0L4UG,C5116450
"D29, D31",D_SMA,2,1N4001,C727081
"F10, F11, F12, F13, F14, F15",1812,6,Polyfuse 1.5A,C883154
F2,2920,1,Polyfuse 2A,C6165181
"F3, F4, F5, F6",1812,4,Polyfuse 140mA 60V,C20994
"F32, F33",0805,2,200mA PTC,C2840556
"FB4, FB5",0603,2,FB_100R_2.5A, C85831
"GD2, GD3, GD4, GD7",1812,4,GDT_2Pin,C9235
J1,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,Screw_Terminal_01x02,C8465
"J10, J11",U.FL_Hirose_U.FL-R-SMT-1_Vertical,2,u.fl,C496552
"J17, J18, J19, J20, J26, J28, J9",TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,7,Screwterminal 01x02,C695629
"J22, J23, J24, J25, J27, J3, J5",TerminalBlock_4Ucon_1x03_P3.50mm_Horizontal,7,Screwterminal 01x03, C695630
J8,nanoSIM_Hinged_CUI_NSIM-2-C,1,SIM_Card_Shielded,C266890
"K1, K2",Relay_DPDT_Omron_G2RL-2,2,G2RL-24 DC5,C6866153
L1,0402,1,47nH,C97998
L3,L_KOHERelec_MDA7030,1,5.6uH 5.5A,C475914
L5,L_APV_APH0412,1,1uH 6A,C167203
