Designator,Mid X,Mid Y,Rotation,Layer
BT1,93.597,-182.562454,90.0,top
C100,82.479,-235.8595,90.0,top
C11,125.161,-232.626999,90.0,top
C12,125.161,-229.566998,90.0,top
C13,125.204,-197.246999,270.0,top
C14,104.747,-198.150999,270.0,top
C16,128.022999,-226.324999,180.0,top
C17,91.937003,-164.563001,0.0,top
C18,81.119,-164.833999,270.0,top
C19,123.59,-229.559999,90.0,top
C20,111.841499,-189.346499,270.0,top
C21,122.39,-190.533999,270.0,top
C22,88.764001,-165.299999,90.0,top
C23,92.208001,-159.689999,0.0,top
C25,85.973001,-152.312999,180.0,top
C30,81.693,-232.114999,0.0,top
C32,81.472999,-161.635999,0.0,top
C33,135.4445,-82.802998,90.0,top
C34,124.195,-138.278999,0.0,top
C35,122.337,-133.604999,270.0,top
C36,122.393,-127.157999,270.0,top
C37,70.246,-163.829998,270.0,top
C38,73.112,-169.110999,270.0,top
C39,126.493,-148.449999,180.0,top
C40,126.445,-142.750999,0.0,top
C47,131.457,-88.401999,0.0,top
C48,113.9055,-192.145498,270.0,top
C49,122.285999,-183.6245,180.0,top
C50,110.281,-194.884999,0.0,top
C51,116.468,-142.060999,180.0,top
C52,112.355001,-138.913999,270.0,top
C53,116.168,-155.260999,270.0,top
C54,114.12,-156.309,270.0,top
C55,111.746,-150.612999,0.0,top
C56,114.904501,-150.813997,0.0,top
C57,130.885,-228.975999,0.0,top
C58,128.408,-235.053999,270.0,top
C59,134.718,-226.942499,270.0,top
C60,110.074,-159.768999,0.0,top
C61,106.118,-159.356999,180.0,top
C70,79.051,-235.8465,90.0,top
C71,70.398,-235.284999,180.0,top
C76,134.775,-102.291999,90.0,top
C77,66.614,-188.543999,180.0,top
C78,66.93,-191.781999,270.0,top
C79,62.462,-225.858999,270.0,top
C8,125.111,-235.426999,0.0,top
C80,59.282,-225.899998,270.0,top
C81,64.427,-226.358998,90.0,top
C87,78.52,-231.704999,270.0,top
C88,72.973,-238.100999,270.0,top
C89,67.148,-238.907999,270.0,top
C9,134.429,-235.320999,0.0,top
C90,66.745,-235.005999,90.0,top
C94,100.168,-209.053999,0.0,top
