Designator,Mid X,Mid Y,Rotation,Layer
F1,194.31,-81.684,0.0,top
F10,194.31,-104.581,0.0,top
F11,194.31,-107.091,0.0,top
F12,194.31,-109.601,0.0,top
F13,194.2845,-112.358,0.0,top
F14,194.2845,-114.868,0.0,top
F15,194.2845,-117.378,0.0,top
F16,194.2845,-119.888,0.0,top
F17,194.2845,-122.398,0.0,top
F2,194.31,-84.194,0.0,top
F3,194.31,-86.704,0.0,top
F4,194.31,-89.214,0.0,top
F5,194.31,-91.724,0.0,top
F6,194.31,-94.234,0.0,top
F7,194.31,-97.051,0.0,top
F8,194.31,-99.561,0.0,top
F9,194.31,-102.071,0.0,top
J1,198.3,-101.906,0.0,top
J2,187.96,-101.219,270.0,top
